Kynjuð orð	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10
fála	no	k/kvk		flenna, gála, léttúðakvendi; stygg ær	niðrandi/ljótt orð yfir konur	Lauslát kona				
fatabuska	no	k/kvk		fljótfær kona	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
fenja	no	k/kvk		gangmikil og frekjuleg kona	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
ferðafuða	no	k/kvk	v	flækingskvendi; sköp kvendýrs eða konu	niðrandi/ljótt orð yfir konur	Kona mikið á ferðinni				
fettirófa	no	k/kvk		tilgerðarleg kona	niðrandi/ljótt orð yfir konur	Tilhaldssöm, tilgerðarleg kona				
fiðafita	no	k/kvk		lítilfjörlegur kvenmaður	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
flækingskvendi	no	k/kvk	v	flækingskvendi; sköp kvendýrs eða konu	niðrandi/ljótt orð yfir konur	Kona mikið á ferðinni				
flagð	no	k/kvk		misindiskona, svarkur	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
flaggáta	no	k/kvk		rásgjörn kona; stór og stygg stóðmerki	niðrandi/ljótt orð yfir konur	Kona mikið á ferðinni				
flakatrúss	no	k/kvk		léttúðardrós	niðrandi/ljótt orð yfir konur	Lauslát kona				
flekon	no	k/kvk		fyrirferðarmikil og skerjuleg stelpa	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
flenna	no	k/kvk		gála, léttúðarkvendi	niðrandi/ljótt orð yfir konur	Lauslát kona				
flennubredda	no	k/kvk		lauslát kona	niðrandi/ljótt orð yfir konur	Lauslát kona				
flík	no	k/kvk		lauslát kona	niðrandi/ljótt orð yfir konur	Lauslát kona				
flökkukerling	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
fluðra	no	k/kvk		fljótfær kona og ferðamikil	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
fluðrukolla	no	k/kvk		flasfengin kona, flöktgjörn stelpa	niðrandi/ljótt orð yfir konur	Kona mikið á ferðinni				
fluðruveski	no	k/kvk		stelpugopi	niðrandi/ljótt orð yfir konur	Almenn ljót orð um stelpur				
flyðra	no	k/kvk		glyðra, skækja	niðrandi/ljótt orð yfir konur	Lauslát kona				
flymbra	no	k/kvk		fljótfær kona	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
freigáta	no	k/kvk		gangmikil kona	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
frenja	no	k/kvk		óhemja, óstýrlát kona	niðrandi/ljótt orð yfir konur	Óhemja, ólátasöm stelpa				
freyðsild	no	k/kvk		vanstillt óróasöm kona	niðrandi/ljótt orð yfir konur	Óhemja, ólátasöm stelpa				
frolla	no	k/kvk		leiðindakvendi 	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
fruska	no	k/kvk		fljótfær kona, fyrirgangsmikil, hraðvirk, brussa	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
fúgáta	no	k/kvk		vanstillt og óþjál manneskja; óþæg rolla	niðrandi/ljótt orð yfir konur	Óhemja, ólátasöm stelpa				
fúkáta	no	k/kvk		vanstillt og óþjál manneskja; óþæg rolla	niðrandi/ljótt orð yfir konur	Óhemja, ólátasöm stelpa				
fýlutrunta	no	k/kvk		fúllynd kona	niðrandi/ljótt orð yfir konur	Skapgerð: Geðill, uppstökk kona				
gæma	no	k/kvk		frek og fleðuleg stelpa	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
gæra	no	k/kvk		léttúðarkvendi, dræsa	niðrandi/ljótt orð yfir konur	Lauslát kona				
gæs	no	k/kvk		stelputrippi, gála, lauslát kona	niðrandi/ljótt orð yfir konur	Lauslát kona				
gafhlað	no	k/kvk		kjaftakind	niðrandi/ljótt orð yfir konur	Málug kona; sem segir meira en hún má				
gafhlað	no	k/kvk		skass	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
gaflhlað	no	k/kvk		framhleypin stelpa	niðrandi/ljótt orð yfir konur	Óhemja, ólátasöm stelpa				
gagl	no	k/kvk		blaðurskjóða; tröllskessa, villigæs	niðrandi/ljótt orð yfir konur	Málug kona; sem segir meira en hún má				
Gála	no	k/kvk		1 e. Lauslát kona, 2. Lufsa	niðrandi/ljótt orð yfir konur	 				
gála	no	k/kvk		óstýrilát, ofsakát stúlka, flenna; stygg skepna	niðrandi/ljótt orð yfir konur	Óhemja, ólátasöm stelpa				
gála	no	k/kvk		glyðra, flenna	niðrandi/ljótt orð yfir konur	Lauslát kona				
galeiða	no	k/kvk		pilsalétt kona og greiðug við karlkynið	niðrandi/ljótt orð yfir konur	Lauslát kona				
galías	no	k/kvk		fyrirferðarmikill kvenmaður	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
gandála	no	k/kvk		ólátasöm stelpa/skepna	niðrandi/ljótt orð yfir konur	Óhemja, ólátasöm stelpa				
ganta	no	k/kvk		flónsleg og flumbruleg kona	niðrandi/ljótt orð yfir konur	Klaufsk kona				
gaprildi	no	k/kvk		málskrafsskjóða, masgefin kona	niðrandi/ljótt orð yfir konur	Málug kona; sem segir meira en hún má				
gegða	no	k/kvk		lastyrði 	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
geitaskurfa	no	k/kvk		skammaryrði 	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
gella	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
gella	no	k/kvk		niðrandi 	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur	x (kinnar á fiski)			
gemla	no	k/kvk		niðrandi 	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
gensa	no	k/kvk		ómerkileg, léttúðug stúlka	niðrandi/ljótt orð yfir konur	Lauslát kona				
glaðél	no	k/kvk		léttlynd og léttúðug stúlka	niðrandi/ljótt orð yfir konur	Lauslát kona				
gláka	no	k/kvk		lastyrði 	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur	x( augnasjúkdómur)			
gleðikona	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
gleðra	no	k/kvk		léttúðarkvendi	niðrandi/ljótt orð yfir konur	Lauslát kona				
gleiðálka	no	k/kvk		stelpugála	niðrandi/ljótt orð yfir konur	Lauslát kona				
glenna	no	k/kvk		glyðra	niðrandi/ljótt orð yfir konur	Lauslát kona				
glerjagás	no	k/kvk		lauslát og taugaveikluð kona	niðrandi/ljótt orð yfir konur	Lauslát kona				
gloðra	no	k/kvk		daðurdrós, flenna, gála; stygg ær	niðrandi/ljótt orð yfir konur	Lauslát kona				
glofra	no	k/kvk		fljótfær kona og gangmikil	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
glufra	no	k/kvk		glyðra, flenna	niðrandi/ljótt orð yfir konur	Lauslát kona				
glumbra	no	k/kvk		skrugga, hávær stúlka	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
glutra	no	k/kvk		kona sem glutrar öllu niður eða sóar öllu	niðrandi/ljótt orð yfir konur	Klaufsk kona				
glyðra	no	k/kvk		daðurdrós, léttúðardrós, flenna, gála	niðrandi/ljótt orð yfir konur	Lauslát kona				
gopa	no	k/kvk		málug kona	niðrandi/ljótt orð yfir konur	Málug kona; sem segir meira en hún má				
gribba	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
gribba	no	k/kvk		viðskotaill kona, kvenvargur	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
grípa	no	k/kvk		skass , skessa	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
grissa	no	k/kvk		montin kona (menntagrissa)	niðrandi/ljótt orð yfir konur	Montin kona, tilhaldsöm, hégómleg kona				
grybba	no	k/kvk		skapill og grettuleg kona	niðrandi/ljótt orð yfir konur	Skapgerð: Geðill, uppstökk kona				
hafgammur	no	k/kvk		aðgangshörð, frek kona	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
hafgleypa	no	k/kvk		aðgangshörð, frek kona	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
harðnjála	no	k/kvk		harðlynd kona	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
hégilja	no	k/kvk		einföld manneskja og hégómleg	niðrandi/ljótt orð yfir konur	Montin kona, tilhaldsöm, hégómleg kona				
hégómi	no	k/kvk		duglaus og tepruleg kona	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
heimlæða	no	k/kvk		seinlát og seinvirk kona	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
hemi	no	k/kvk		stelpuskömm	niðrandi/ljótt orð yfir konur	Almenn ljót orð um stelpur				
hémolla	no	k/kvk		daufgerð stúlka	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
herkerling	no	k/kvk		gömul, vesæl kona	niðrandi/ljótt orð yfir konur	Gömul kona				
hilla	no	k/kvk		kvensnift, óþekk og ritjuleg ær, gömul kýr	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur	x (húsgagn)			
híót	no	k/kvk		hró, skar	niðrandi/ljótt orð yfir konur	Gömul kona				
hitta	no	k/kvk		gömul kona	niðrandi/ljótt orð yfir konur	Gömul kona				
hláka	no	k/kvk		kvensa	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur	x (svo hlýtt veður að snjór og ís bráðna, þíðviðri)			
hláka	no	k/kvk		kerlingarhlussa, skrukka	niðrandi/ljótt orð yfir konur	Gömul kona				
hoppintegla	no	k/kvk		stelputrippi, flenna, léttúðardrós; rásgjörn hryssa	niðrandi/ljótt orð yfir konur	Lauslát kona				
Hóra	no	k/kvk		vændiskona	niðrandi/ljótt orð yfir konur	 				
hóra	no	k/kvk	m		niðrandi/ljótt orð yfir konur	 				
hórkona	no	k/kvk			niðrandi/ljótt orð yfir konur					
hreppskerling	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
hrímskella	no	k/kvk		hávaðakvendi	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
hró	no	k/kvk		gömul kona	niðrandi/ljótt orð yfir konur	Gömul kona				
hrognhetta	no	k/kvk		grybbuleg kona	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
hrokkinskinna	no	k/kvk		roskin hrukkótt kona	niðrandi/ljótt orð yfir konur	Gömul kona				
hrossaskella	no	k/kvk		hávaðasöm, fasmikil kona	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
hryssa	no	k/kvk		skammaryrði 	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur	x (kvenhestur)			
hurpa	no	k/kvk		hrukkótt kona	niðrandi/ljótt orð yfir konur	Gömul kona				
hvatabuska	no	k/kvk		fljótfær og skvettuleg kona	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
hveðra	no	k/kvk		hávær kona eða krakki; ókyrr og skvettuleg skepna	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
hvellibjalla	no	k/kvk		hávær kona	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
hviðra	no	k/kvk		málgefin kona; ær sem jarmar hátt	niðrandi/ljótt orð yfir konur	Málug kona; sem segir meira en hún má				
hvippa	no	k/kvk		lastyrði 	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
hylla	no	k/kvk		kvensnift, óþekk og ritjuleg ær, gömul kýr	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
hyndla	no	k/kvk		kvensnift, tík, rytjuleg ær eða kýr	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
hytta	no	k/kvk		leiðinleg kerling; óþekk sauðkind	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
irra	no	k/kvk		geðvond kona; óþekk ær	niðrandi/ljótt orð yfir konur	Skapgerð: Geðill, uppstökk kona				
kanamella	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
kella	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
Kelling	no	k/kvk		kona	niðrandi/ljótt orð yfir konur	 				
kelling	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
kengála	no	k/kvk		renglulegur og ferðamikill kvenmaður, fenjuleg sktelpa ' hryssuheiti'	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
Kerling	no	k/kvk		kona	niðrandi/ljótt orð yfir konur	 				
kerling	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
kerlingarhíót	no	k/kvk		hró, skar	niðrandi/ljótt orð yfir konur	Gömul kona				
kerlingarhláka	no	k/kvk		kerlingarhlussa, skrukka	niðrandi/ljótt orð yfir konur	Gömul kona				
kerlingarhromsa	no	k/kvk		hnjóðsyrði	niðrandi/ljótt orð yfir konur	Gömul kona				
kerlingarhrota	no	k/kvk		örvasa gamalmenni; gömul skepna	niðrandi/ljótt orð yfir konur	Gömul kona				
kerlingarskrukka	no	k/kvk		gömul kona	niðrandi/ljótt orð yfir konur	Gömul kona				
kerlingarskurfa	no	k/kvk		gömul kerling	niðrandi/ljótt orð yfir konur	Gömul kona				
kerlingartrunta	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
kerlingartuðra	no	k/kvk		lastyrði um konu	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
kerlingartussa	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
kjaftakerling	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
kjaftakerling	no	k/kvk		málug kona, slaðurdrós	niðrandi/ljótt orð yfir konur	Málug kona; sem segir meira en hún má				
kjaftakind	no	k/kvk		málug kona sem oft ber á milli	niðrandi/ljótt orð yfir konur	Málug kona; sem segir meira en hún má				
kjaftarifa	no	k/kvk		málug kona sem oft ber á milli	niðrandi/ljótt orð yfir konur	Málug kona; sem segir meira en hún má				
kjaftatífa	no	k/kvk		málug kona sem oft ber á milli	niðrandi/ljótt orð yfir konur	Málug kona; sem segir meira en hún má				
kjaftatík	no	k/kvk		málug kona sem oft ber á milli	niðrandi/ljótt orð yfir konur	Málug kona; sem segir meira en hún má				
kjaftatól	no	k/kvk		málug kona sem oft ber á milli	niðrandi/ljótt orð yfir konur	Málug kona; sem segir meira en hún má				
klofakerling	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
kolta	no	k/kvk		lastyrði 	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
kvendi	no	k/kvk		niðrandi 'kvensa'	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
kvendjöfull	no	k/kvk	n		niðrandi/ljótt orð yfir konur	 				
kvenmannsræfill	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
kvensa	no	k/kvk		niðrandi 'kvendi'	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
kvenskass	no	k/kvk		skaphörð kona	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
kvensnift	no	k/kvk		niðrandi 'kvensa'	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
kvenvera	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
læða	no	k/kvk		seinvirk og roluleg manneskja	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
láma	no	k/kvk		seinvirk og roluleg kona	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
lauslætisdrós	no	k/kvk			niðrandi/ljótt orð yfir konur					
lausungarkona	no	k/kvk		gleðikona/léttúðardrós	niðrandi/ljótt orð yfir konur					
leiðindarkerling	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
leiðindatrunta	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
letidömp	no	k/kvk		löt og slyttisleg kona	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
léttúðardrós	no	k/kvk		daðurdrós, léttúðardrós, flenna, gála	niðrandi/ljótt orð yfir konur	Lauslát kona				
lókalöð	no	k/kvk		lauslát kona	niðrandi/ljótt orð yfir konur	Lauslát kona				
lótaska	no	k/kvk		gufuleg kona, rola	niðrandi/ljótt orð yfir konur	Skapgerð: Daufgerð, roluleg kona				
luðra	no	k/kvk		lastyrði 	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
lúfa	no	k/kvk		rolulegur kvenmaður	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
lussa	no	k/kvk		þung og silaleg kona	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
mélkisa	no	k/kvk		daufgerð röluleg persóna	niðrandi/ljótt orð yfir konur	Skapgerð: Daufgerð, roluleg kona				
Mella	no	k/kvk		vændiskona	niðrandi/ljótt orð yfir konur	 				
mella	no	k/kvk		skessa, skækja, lauslætiskvendi	niðrandi/ljótt orð yfir konur	Lauslát kona				
mélráfa	no	k/kvk		daufgerð röluleg persóna	niðrandi/ljótt orð yfir konur	Skapgerð: Daufgerð, roluleg kona				
mjölráfa	no	k/kvk		daufgerð röluleg persóna	niðrandi/ljótt orð yfir konur	Skapgerð: Daufgerð, roluleg kona				
molla	no	k/kvk		hæglát kona	niðrandi/ljótt orð yfir konur	Skapgerð: Daufgerð, roluleg kona				
montrófa	no	k/kvk		montin kona 	niðrandi/ljótt orð yfir konur	Montin kona, tilhaldsöm, hégómleg kona				
nirtinturta	no	k/kvk		pjattrófa, tepra	niðrandi/ljótt orð yfir konur	Tilhaldssöm, tilgerðarleg kona				
nískunös	no	k/kvk		nísk kona	niðrandi/ljótt orð yfir konur	Skapgerð: Kona fastheldin í fé				
nótenatáta	no	k/kvk		glysgjörn kona	niðrandi/ljótt orð yfir konur	Tilhaldssöm, tilgerðarleg kona				
nurta	no	k/kvk		sparsöm kona, smátæk í útlátum	niðrandi/ljótt orð yfir konur	Skapgerð: Kona fastheldin í fé				
óðindæla	no	k/kvk		lastyrði 	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
ólánstrunta	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
óstefna	no	k/kvk		óhemja, um stelpukrakka	niðrandi/ljótt orð yfir konur	Óhemja, ólátasöm stelpa				
perta	no	k/kvk		afundin, snefsin kona ; hryssa	niðrandi/ljótt orð yfir konur	Skapgerð: Geðill, uppstökk kona				
pilsvargur	no	k/kvk		kvenskass	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
piparkerling	no	k/kvk		gömul ógift kona	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
pjása	no	k/kvk		niðrandi 'stelpa, stúlka' 	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
pjattrófa 	no	k/kvk		hégómleg manneskja	niðrandi/ljótt orð yfir konur	Tilhaldssöm, tilgerðarleg kona				
prjónaskita	no	k/kvk		duglítil, klaufsk prjónakona	niðrandi/ljótt orð yfir konur	Klaufsk kona				
púgáta	no	k/kvk		geðvondur kvenmaður	niðrandi/ljótt orð yfir konur	Skapgerð: Geðill, uppstökk kona				
rassambirna	no	k/kvk		rassambirna	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
retta	no	k/kvk		þurrleg, önug kona	niðrandi/ljótt orð yfir konur	Skapgerð: Geðill, uppstökk kona				
rettirófa	no	k/kvk		sperrirófa, tildurdrós, montrass	niðrandi/ljótt orð yfir konur	Montin kona, tilhaldsöm, hégómleg kona				
retturófa	no	k/kvk		sperrirófa, tildurdrós, montrass	niðrandi/ljótt orð yfir konur	Montin kona, tilhaldsöm, hégómleg kona				
roffugoð	no	k/kvk		stelpugægsni, himpigimpi	niðrandi/ljótt orð yfir konur	Almenn ljót orð um stelpur				
roppugoð	no	k/kvk		stelpugægsni, himpigimpi	niðrandi/ljótt orð yfir konur	Almenn ljót orð um stelpur				
saumaskita	no	k/kvk		klaufsk saumakona	niðrandi/ljótt orð yfir konur	Klaufsk kona				
saumhögg	no	k/kvk		hvassyrt, svarhörð kona; illgengur, hastur hestur	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
síðsuða	no	k/kvk		málgefin kona 	niðrandi/ljótt orð yfir konur	Málug kona; sem segir meira en hún má				
síldarkerling	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
skækja	no	k/kvk		gleðikona, hóra	niðrandi/ljótt orð yfir konur	Lauslát kona				
skass	no	k/kvk		skaphörð og vanstillt kona	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
skata	no	k/kvk		löt kona	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
skegla	no	k/kvk		snegluleg og garraleg manneskja, flasfengin kona, gálaus og léttúðug	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
skella	no	k/kvk		hávær og fyrirferðarmikil kona eða stelpa	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
skella	no	k/kvk		strákaflenna	niðrandi/ljótt orð yfir konur	Lauslát kona				
skellibjalla	no	k/kvk		hávær og fyrirferðarmikil kona	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
skelligláma	no	k/kvk		hávær og fyrirferðarmikil kona	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
skellinaðra	no	k/kvk		hávær og fyrirferðarmikil kona	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
skellinefja	no	k/kvk		hávær og fyrirferðarmikil kona	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
skerja	no	k/kvk		bryðja, frekjuleg og gangmikil kona; rásgjörn óþekk skepna	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
skerjagála	no	k/kvk		stelpugála; óþæg ær	niðrandi/ljótt orð yfir konur	Lauslát kona				
skerjakolla	no	k/kvk		lítil stúlka sem er órabelgur	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
skerjakolla	no	k/kvk		skessulegur, gangmikill kvenmaður	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
